id	turn1	turn2	turn3	label
0	then dont ask me 	 youre a guy not as if you would understand 	 im not a guy fuck off	angry
1	mixed things such as ? 	 the things you do . 	 have you seen minions ?	others
2	today i'm very happy 	 and i'm happy for you ❤ 	 i will be marry	happy
3	woah bring me some 	 left it there oops 	 brb	others
4	it is thooooo 	 i said soon master . 	 he is pressuring me	others
5	wont u ask my age ? 	 hey at least i age well ! 	 can u tell me how can we get closer ?	others
6	i said yes 	 what if i told you i'm not ? 	 go to hell	angry
7	where i ll check 	 why tomorrow ? 	 no i want now	others
8	shall we meet 	 you say- you're leaving soon . anywhere you wanna go before you head ? 	 ?	others
9	let's change the subject 	 i just did it . l . 	 you're broken	sad
10	your pic pz 	 thank you x‑d 	 wc	others
11	not mine 	 done for the day ? 	 can my meet to sexy girl	others
12	i want to play the game 	 if you just finished the game . then you haven't finished the game . 	 #emojisong	others
13	iam sory 	 why sorry ! 😿 	 i insult you	sad
14	how much 	 depends on how long your internet has been out ! 	 u have bf	others
15	ok 	 thank you . 😆 	 what about cortanan	others
16	so the story ? 	 yeah indeed 😹 	 tomorrow probably	others
17	may be 	 yeaa i hope soo ! 	 can you do complex calculations	others
18	so come on na . want u so badly . 	 now you're tempting me to . 	 so why are you still away from my body ?	others
19	no you aren't 	 oh i am 	 really ?	others
20	are u a one 	 i'm the normal one , if you want 	 what i want	others
21	but . 	 then 	 i'm feeling nervous	sad
22	send me any video or songs 	 video or text 	 s	others
23	why 	 why what 	 how r u	others
24	do it 	 but why ? 	 aaah . u lack creativity at some extent	others
25	yeah going out with the parson outside in the city or in the parc 	 yeah . i don't live in the city . x 	 so where do you live	others
26	then go to sleep 	 you never sleep 	 i will	others
27	he's very depressed and i want to help him but how should i do . it feels very bad seeing your best friend like this 	 dance to enjoy , not to please . 	 ohhhh	others
28	oh great 	 yeah do you have any plans for today ? 	 no i don't have any plan	others
29	i don't have plans for the weekend . 	 you did saturday with me but i see how it is 	 what are you talking about ?	others
30	i don't know 	 why what happen . ? 	 jst asking	others
31	i didn't think so 	 i did . you are evading 	 what is the meaning	others
32	really 	 what ? 	 i love you	others
33	you 	 how about ur family . still single ? 	 can you love mi	others
34	you are also beautiful 	 well thank you 🙂 	 welcome	happy
35	hell 	 im already there xoxo 😂 	 good night sweet dreams baby	others
36	you are computerised for talk too fast 	 actually my not fast , my phone is 😂 	 ohh sorry	others
37	really 	 explain how 	 hw to explain	others
38	thanks 	 you're welcome 😂 	 i like reply instant ly	others
39	ok 	 . tries to ignore pain 😢 	 where to go ?	others
40	show your tatto 	 i don't have one 	 in that case , i will show you mine	others
41	get lost 	 or else what ? 	 i don't need this	angry
42	so tht u r body can get heat 	 i heat more than that up ;] 	 ok	others
43	seriously it's boring sorry to say this 	 it's too late to apologize ? 	 plz yaar pakaa mat	others
44	why ! 	 because they are bff's ? 	 who are bff's	others
45	make 	 how 	 i don't know i think u know	others
46	quite a while ago 	 months ago 	 weeks	others
47	sports 😂 	 til i need to watch more european sports like this . 	 you're an interactive search module right ?	others
48	u ar using what i want to buy to play 	 i'm using 44 as well 	 u think is funny ehn and if you know u cannot get the dog for me don't joke with it and if you continue with this ur stinginess allah will judge you	others
49	u were offering something right ? 	 i don't remember the wrong part . 	 tell me the correct part	others
50	i'm not talking to u anymore 	 what i do ? 	 clear ur glitch s	others
51	do you study 	 yes gtg ttyl 	 where are you from	others
52	okay 	 hello ! how are you ? 	 good n u	others
53	no . l human 	 are you sure ? 	 yeah	others
54	talking to me ? 	 but i didn't help 	 does that work ?	others
55	fight 	 i don't fight . 	 what are you doing	others
56	i think there is a connection of heart between us 	 definitely . 	 😂 😂	happy
57	i know you are wild pig 	 lol in some areas 	 yes piggy	others
58	no i didn't 	 you watched my story though 	 i did not	others
59	i don't want to go to college 	 do we go back monday ? 	 we have an event tomorrow	others
60	m just keeping u busy 	 work work work 	 i don't have rather than study	others
61	ok 	 u are ok 	 send me your pic	others
62	ok 	 ok im back ! 	 what time will you back	others
63	ok 	 u are ok~~ay~~ 	 dnt u sleeppp at night	others
